id,title,description,availibility,condition,price,link,image_link,BRAND,category,sub-category,length,colour,pattern,fit
68,Got To Be Certain Dress In White Spot,Add a touch of retro charm to your wardrobe with the Got To Be Certain Dress in White Spot. The classic white color and adorable spot print create a vintage-inspired look that's perfect for a cute and feminine style.,in stock,new,35 USD,https://netcoredemo.myshopify.com/collections/dress/products/1068,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2019.8.9__70.jpg?v=1586241054,Netcore,Dresses,dress,maxi,white,polka,slit
69,Women Printed Red Maxi Dress,Make a statement with the Women Printed Red Maxi Dress. The bold red color and eye-catching print create a head-turning look that's perfect for special occasions or a glamorous night out. Get ready to steal the spotlight.,in stock,new,18 USD,https://netcoredemo.myshopify.com/collections/dress/products/1069,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/e6d20e46-9b47-47b9-855b-3cabcbd1267a1569060769219-ONLY-Women-Dresses-7601569060767406-1.jpg?v=1586241056,Netcore,Dresses,dress,maxi,red,polka,Comfortable
70,Women Printed Blue Maxi Dress,Embrace a boho-chic style with the Women Printed Blue Maxi Dress. The captivating blue color and intricate print combine to create a fashionable and laid-back look that's ideal for summer adventures or casual gatherings.,in stock,new,9 USD,https://netcoredemo.myshopify.com/collections/dress/products/1070,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/0343c20a-2b33-4363-9217-c6a6b3253dee1573723026112-1.jpg?v=1586241058,Netcore,Dresses,dress,maxi,blue,polka,Comfortable
71,Women Green Printed Maxi Dress,"Channel nature's beauty with the Women Green Printed Maxi Dress. The refreshing green color and mesmerizing print evoke a sense of tranquility and natural elegance, making it a perfect choice for outdoor events or garden parties.",in stock,new,7 USD,https://netcoredemo.myshopify.com/collections/dress/products/1071,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/00a63b6d-4d2f-40ca-b76d-185880a6b55d1574444151980-1.jpg?v=1586241060,Netcore,Dresses,dress,maxi,green,polka,Comfortable
72,Women Mustard Yellow Off-Shoulder Printed Maxi Dress,Embrace the off-shoulder trend with the Women Mustard Yellow Off-Shoulder Printed Maxi Dress. The vibrant mustard yellow color and stylish print create a bohemian-inspired look that's perfect for summer festivals or beach vacations.,in stock,new,21 USD,https://netcoredemo.myshopify.com/collections/dress/products/1072,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/50c24d50-043e-498e-b2d0-27bc9aabeae81559909910546-DOROTHY-PERKINS-Women-Dresses-8271559909909035-1.jpg?v=1586241062,Netcore,Dresses,dress,maxi,yellow,polka,Comfortable
73,Women's Short Sleeve Bodycon Dress Sexy Elegant Dot Print Cocktail Party Mermaid Midi Pencil Dress Knee Length,"Step into sophistication with the Women's Short Sleeve Bodycon Dress. The elegant dot print, knee-length silhouette, and mermaid-style hem combine to create a sexy and glamorous look that's perfect for cocktail parties and special occasions.",in stock,new,6 USD,https://netcoredemo.myshopify.com/collections/dress/products/1073,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/71WobcX6H9L._SX385._SX._UX._SY._UY.jpg?v=1586241064,Netcore,Dresses,dress,maxi,green,polka,tight
74,Lettre d'amour Women Vintage Polka Dot Ruffle Deep V-Neck Backless Bodycon Maxi Dress,"Add a touch of vintage charm to your wardrobe with the Lettre d'amour Women Vintage Polka Dot Ruffle Dress. The classic polka dot print, deep V-neckline, and backless design create a feminine and flirtatious look that's perfect for special events or date nights.",in stock,new,16 USD,https://netcoredemo.myshopify.com/collections/dress/products/1074,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/71miiVZ4WUL._UY606.jpg?v=1586241065,Netcore,Dresses,dress,maxi,black,polka,tight
75,Uscharm Long Dress Womens Short Sleeve O-Neck Dots Print Mermaid Dress Girls Bodycon Slim Summer,"Embrace a slim and stylish look with the Uscharm Long Dress. The short sleeves, O-neckline, and dots print create a charming and versatile dress that's perfect for summer days, casual outings, or even semi-formal occasions. Stay effortlessly chic all season long.",in stock,new,13 USD,https://netcoredemo.myshopify.com/collections/dress/products/1075,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/61lW6L6YrIL._SX385._SX._UX._SY._UY.jpg?v=1586241066,Netcore,Dresses,dress,maxi,blue,polka,tight
76,Cleanse My Soul Dress In Mustard Spot,Embrace a playful and vibrant look with the Cleanse My Soul Dress in Mustard Spot. The mustard color and charming spot print create a fun and stylish dress that's perfect for casual outings or daytime events.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1076,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/rocleanse_my_soul_dress_in_mustard_spot.jpg?v=1586241069,Netcore,Dresses,dress,midi,yellow,polka,Comfortable
77,Women Red & White Printed A-Line Dress,"Make a statement with the Women Red & White Printed A-Line Dress. The bold red and white print, combined with the flattering A-line silhouette, create a chic and stylish look that's perfect for both casual and semi-formal occasions.",in stock,new,20 USD,https://netcoredemo.myshopify.com/collections/dress/products/1077,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/6e09d4d0-6724-4c97-82e1-f2890a897bdd1560169210558-DOROTHY-PERKINS-Women-Dresses-9621560169208887-1.jpg?v=1586241071,Netcore,Dresses,dress,midi,red,polka,Comfortable
78,Women White Printed Fit and Flare Dress,"Embrace feminine charm with the Women White Printed Fit and Flare Dress. The delicate white color and elegant print, along with the flattering fit and flare silhouette, create a timeless and versatile dress for various occasions.",in stock,new,46 USD,https://netcoredemo.myshopify.com/collections/dress/products/1078,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/55d93d26-62ea-49b6-a1f4-d7e9cec6f1d61550879931089-1.jpg?v=1586241084,Netcore,Dresses,dress,midi,white,polka,Comfortable
79,Taking Shortcuts Dress In Blue Polka,Add a touch of retro flair with the Taking Shortcuts Dress in Blue Polka. The classic blue color and charming polka dot print create a vintage-inspired look that's perfect for a cute and feminine style.,in stock,new,60 USD,https://netcoredemo.myshopify.com/collections/dress/products/1079,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tntaking_shortcuts_dress_in_blue_polka.jpg?v=1586241086,Netcore,Dresses,dress,midi,blue,polka,slit
80,Taking Shortcuts Dress In Cream Spot,Embrace a playful and stylish look with the Taking Shortcuts Dress in Cream Spot. The cream color and adorable spot print create a fun and versatile dress that's perfect for a variety of casual outings and daytime events.,in stock,new,60 USD,https://netcoredemo.myshopify.com/collections/dress/products/1080,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/taking_shortcuts_dress_in_white_spot_2.jpg?v=1586241088,Netcore,Dresses,dress,midi,white,polka,slit
81,Best Game Dress In Red Spot,Step up your style game with the Best Game Dress in Red Spot. The vibrant red color and playful spot print combine to create a bold and eye-catching dress that's perfect for making a fashion statement.,in stock,new,54 USD,https://netcoredemo.myshopify.com/collections/dress/products/1081,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/best_game_dress_in_red_spot_4.jpg?v=1586241091,Netcore,Dresses,dress,midi,red,polka,slit
82,Feeling It Now Dress In Black Spot,Feel confident and chic with the Feeling It Now Dress in Black Spot. The timeless black color and charming spot print create a versatile and stylish dress that's perfect for both casual and dressier occasions.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1082,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/feeling_it_now_dress_in_black_spot_2.jpg?v=1586241093,Netcore,Dresses,dress,midi,black,polka,slit
83,Women Bodycon Black Dress,Flaunt your curves with confidence in the Women Bodycon Black Dress. The sleek black color and form-fitting silhouette create a sexy and sophisticated look that's perfect for a night out or a special event.,in stock,new,11 USD,https://netcoredemo.myshopify.com/collections/dress/products/1083,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/l-mddr836-magnetic-designs-original-imaf5chrfthfvqek.jpg?v=1586241095,Netcore,Dresses,dress,midi,black,polka,tight
84,Women Bodycon White Dress,Embrace elegance with the Women Bodycon White Dress. The crisp white color and figure-hugging silhouette create a sophisticated and timeless look that's perfect for both formal and semi-formal occasions.,in stock,new,75 USD,https://netcoredemo.myshopify.com/collections/dress/products/1084,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/xxl-rk032-needle-works-original-imafnutuawsheawr.jpg?v=1586241096,Netcore,Dresses,dress,midi,white,polka,tight
85,Women Bodycon Pink Dress,"Add a pop of color to your wardrobe with the Women Bodycon Pink Dress. The vibrant pink hue and flattering bodycon fit create a feminine and stylish dress that's perfect for parties, nights out, or special occasions.",in stock,new,54 USD,https://netcoredemo.myshopify.com/collections/dress/products/1085,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/xl-ik-011-ikra-fashion-original-imafhgm7yfsnr5hd.jpg?v=1586241098,Netcore,Dresses,dress,midi,blue,polka,tight
86,Best Fake Smile Dress In Black Spot,Make a statement with the Best Fake Smile Dress in Black Spot. The combination of the classic black color and playful spot print creates a bold and fashionable dress that's perfect for expressing your unique style.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1086,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/robest_fake_smile_dress_in_black_spot.jpg?v=1586241101,Netcore,Dresses,dress,mini,black,polka,tight
87,Black Printed Bodycon Dress,Embrace a sleek and stylish look with the Black Printed Bodycon Dress. The black color and eye-catching print combine to create a sophisticated and versatile dress that's perfect for various occasions.,in stock,new,81 USD,https://netcoredemo.myshopify.com/collections/dress/products/1087,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/FabAlley-Black-Printed-Bodycon-Dress_1_f0d53ba22c8eff280ab496bbdd139e10.jpg?v=1586241102,Netcore,Dresses,dress,mini,black,polka,tight
88,Women Maroon Printed Bodycon Dress,"Stand out with the Women Maroon Printed Bodycon Dress. The rich maroon color and intricate print create a captivating look that's perfect for making a statement at parties, events, or a night out on the town.",in stock,new,89 USD,https://netcoredemo.myshopify.com/collections/dress/products/1088,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/cd5e2bea-fd45-472b-9827-5b079aaf4ca51555526944769-2.jpg?v=1586241104,Netcore,Dresses,dress,mini,red,polka,tight
89,Worlds Away Dress In Black Polka,Channel vintage vibes with the Worlds Away Dress in Black Polka. The black color and charming polka dot print create a timeless and feminine look that's perfect for both casual outings and dressier occasions.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1089,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/roworlds_away_dress_in_black_polk.jpg?v=1586241107,Netcore,Dresses,dress,mini,black,polka,Comfortable
90,Women Navy Blue Fit and Flare Dress,Embrace a classic and flattering silhouette with the Women Navy Blue Fit and Flare Dress. The deep navy blue color and timeless fit and flare design create a versatile and elegant dress that's perfect for various events.,in stock,new,79 USD,https://netcoredemo.myshopify.com/collections/dress/products/1090,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/e9651dd3-554a-430c-b2b2-efb8c723a3721562747270736-Ginger-by-Lifestyle-Women-Dresses-6801562747270017-1.jpg?v=1586241108,Netcore,Dresses,dress,mini,blue,polka,Comfortable
91,Women Black Printed Fit and Flare Dress,"Add a touch of elegance to your wardrobe with the Women Black Printed Fit and Flare Dress. The black color and sophisticated print, along with the flattering fit and flare silhouette, create a chic and versatile dress for any occasion.",in stock,new,12 USD,https://netcoredemo.myshopify.com/collections/dress/products/1091,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/1a9da8ee-49b3-4e23-84f6-f9f7690c273c1538378500980-Honey-by-Pantaloons-Womens-Dresses-2621538378500724-1.jpg?v=1586241109,Netcore,Dresses,dress,mini,black,polka,Comfortable
92,Pretty As You Dress In Emerald Spot,Embrace a playful and stylish look with the Pretty As You Dress in Emerald Spot. The vibrant emerald color and charming spot print create a fun and eye-catching dress that's perfect for adding a pop of color to your wardrobe.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1092,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/pretty_as_you_dress_in_teal_spot_tn.jpg?v=1586241112,Netcore,Dresses,dress,mini,green,polka,Comfortable
93,Women's Casual Summer Strapless Sexy Polka Dots Party Mini Slit Dress,"Step into summer with the Women's Casual Summer Strapless Sexy Polka Dots Party Mini Slit Dress. The playful polka dot print, strapless design, and mini slit detail create a fun and flirty dress that's perfect for warm-weather occasions.",in stock,new,8 USD,https://netcoredemo.myshopify.com/collections/dress/products/1093,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/610_2BssdRQHL._SX385._SX._UX._SY._UY.jpg?v=1586241114,Netcore,Dresses,dress,mini,white,polka,slit
94,Lovor Women's Wrap Deep V Neck Spaghetti Straps Polka Dots Sleeveless Party Dress Split Beach Casual Belt Mini Dresses,"Embrace a versatile and trendy style with the Lovor Women's Wrap Dress. The deep V-neckline, spaghetti straps, polka dot print, and waist belt detail create a fashionable and feminine dress that's perfect for various occasions.",in stock,new,7 USD,https://netcoredemo.myshopify.com/collections/dress/products/1094,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/615nJ7zfqrL._UX569.jpg?v=1586241115,Netcore,Dresses,dress,mini,red,polka,slit
95,NACY Women's V Neck Wrap Bandage Polka Dot Print Party Midi Bodycon Dress,"Make a fashion statement with the NACY Women's V Neck Wrap Bandage Polka Dot Print Party Midi Bodycon Dress. The combination of the V-neckline, wrap design, bandage detailing, and polka dot print creates a sexy and stylish dress for parties and special events.",in stock,new,14 USD,https://netcoredemo.myshopify.com/collections/dress/products/1095,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/61DKiKyikbL._SX342._SX._UX._SY._UY.jpg?v=1586241116,Netcore,Dresses,dress,mini,yellow,polka,slit
96,VELJIE Womens Cowl Neck Printed Wear to Work Party Dresses,"Embrace a sophisticated and chic look with the VELJIE Womens Cowl Neck Printed Dress. The cowl neck design, stylish print, and versatile style make it a perfect choice for both work and parties, allowing you to effortlessly transition from day to night.",in stock,new,24 USD,https://netcoredemo.myshopify.com/collections/dress/products/1096,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/71pNGf7OJPL._UY606.jpg?v=1586241118,Netcore,Dresses,dress,midi,blue,polka,tight
97,Women Burgundy & White Printed Wrap Dress,"Wrap yourself in style with the Women Burgundy & White Printed Wrap Dress. The elegant burgundy and white print, combined with the flattering wrap silhouette, create a chic and feminine dress that's perfect for any occasion.",in stock,new,13 USD,https://netcoredemo.myshopify.com/collections/dress/products/1097,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/3fe1e1ce-d372-4615-a6fb-55a2f8692ab41573194312273-1.jpg?v=1586241119,Netcore,Dresses,dress,midi,red,polka,Comfortable
98,Miessial Women's Summer Chiffon V Neck Ruffle Maxi Dress Polka Dot Long Beach Wrap Dress,"Embrace the carefree vibes of summer with the Miessial Women's Summer Chiffon V Neck Ruffle Maxi Dress. The breezy chiffon fabric, V-neckline, ruffle detailing, and polka dot print create a stunning and versatile dress for beach vacations or casual outings.",in stock,new,30 USD,https://netcoredemo.myshopify.com/collections/dress/products/1098,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/713VTqizTKL._UY606.jpg?v=1586241120,Netcore,Dresses,dress,maxi,white,polka,slit
99,Women Mustard Yellow Printed Mini Bodycon Dress,Stand out with the Women Mustard Yellow Printed Mini Bodycon Dress. The vibrant mustard yellow color and eye-catching print create a bold and stylish dress that's perfect for making a statement at parties or a night out on the town.,in stock,new,94 USD,https://netcoredemo.myshopify.com/collections/dress/products/1099,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/af820b3b-b2ca-4db1-818c-94f8c0ff077f1531480285256-FOREVER-21-Women-Dresses-6101531480285096-3.jpg?v=1586241122,Netcore,Dresses,dress,mini,yellow,floral,tight
100,Women Yellow & Green Printed Straight Kurta,"Embrace a fusion of tradition and contemporary style with the Women Yellow & Green Printed Straight Kurta. The combination of the vibrant yellow and green print, along with the straight silhouette, create a versatile and fashionable kurta for various occasions.",in stock,new,69 USD,https://netcoredemo.myshopify.com/collections/tops/products/1100,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/5d6a8e02-0fa0-4770-82f5-6b52d9c983561548242338312-Varanga-mustard-printed-straight-kurta-6361548242336928-1.jpg?v=1586241124,Netcore,Shirts,Tops,,yellow,floral,
101,Women Navy Blue & Off-White Printed A-Line Kurta,Elevate your ethnic wardrobe with the Women Navy Blue & Off-White Printed A-Line Kurta. The navy blue and off-white print create a stylish and versatile kurta that's perfect for both casual and festive occasions.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/tops/products/1101,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/5866fc9e-ae67-4134-ae76-ab8731b443ac1558954938814-Indo-Era-Navy-Blue-Printed-Anarkali-Kurtas-2491558954937750-1.jpg?v=1586241125,Netcore,Shirts,Tops,,blue,floral,
102,Women Green & Brown Printed Straight Kurta,"Embrace a fusion of colors with the Women Green & Brown Printed Straight Kurta. The vibrant green and brown print, combined with the straight silhouette, create a trendy and fashionable kurta for various events.",in stock,new,52 USD,https://netcoredemo.myshopify.com/collections/tops/products/1102,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/bf6d1164-4229-4577-9f27-24bbfbd404d61555319879401-Green-Printed-Straight-Kurta-1241555319877321-1.jpg?v=1586241126,Netcore,Shirts,Tops,,green,floral,
103,Women Black & Mustard Yellow Printed Straight Kurta,"Make a statement with the Women Black & Mustard Yellow Printed Straight Kurta. The bold black and mustard yellow print, along with the straight silhouette, create a chic and stylish kurta for a contemporary look.",in stock,new,59 USD,https://netcoredemo.myshopify.com/collections/tops/products/1103,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/f9d5e2fa-808f-4163-9941-f3ab25a3e0e61566823180889-AHIKA-Women-Kurtas-261566823179379-1.jpg?v=1586241128,Netcore,Shirts,Tops,,black,floral,
104,Women Off-White & Pink Printed A-Line Kurta,"Add a touch of femininity with the Women Off-White & Pink Printed A-Line Kurta. The delicate off-white and pink print, combined with the flattering A-line silhouette, create an elegant and timeless kurta for any occasion.",in stock,new,9 USD,https://netcoredemo.myshopify.com/collections/tops/products/1104,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/9a8297fb-5a28-4cda-bcd7-43b2f29ba23b1579823187678-1.jpg?v=1586241129,Netcore,Shirts,Tops,,white,floral,
105,Women Red Printed Straight Kurta,Stand out with the Women Red Printed Straight Kurta. The vibrant red color and eye-catching print create a bold and stylish kurta that's perfect for making a statement at festive gatherings or special events.,in stock,new,12 USD,https://netcoredemo.myshopify.com/collections/tops/products/1105,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/359fbce6-91eb-43bd-a00f-d66739ca64e01580173067064-1.jpg?v=1586241131,Netcore,Shirts,Tops,,red,floral,
106,Women Lime Green Printed A-Line Kurta,Embrace a fresh and vibrant look with the Women Lime Green Printed A-Line Kurta. The lively lime green color and charming print create a chic and contemporary kurta that's perfect for a modern ethnic style.,in stock,new,11 USD,https://netcoredemo.myshopify.com/collections/tops/products/1106,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/6bad3af3-5a3a-4723-8011-ec663ed401321578303692446-Swishchick-Women-Kurtas-131578303690619-1.jpg?v=1586241132,Netcore,Shirts,Tops,,green,floral,
107,Women Black & Green Printed Straight Kurta,Channel elegance with the Women Black & Green Printed Straight Kurta. The classic black color and subtle green print create a sophisticated and versatile kurta that's perfect for both casual and formal occasions.,in stock,new,59 USD,https://netcoredemo.myshopify.com/collections/tops/products/1107,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/30b0017d-7e72-4d40-9633-ef78d01719741575541717470-AHIKA-Women-Black--Green-Printed-Straight-Kurta-990157554171-1.jpg?v=1586241134,Netcore,Shirts,Tops,,black,floral,
108,Women Black Solid Straight Kurta,Embrace simplicity and versatility with the Women Black Solid Straight Kurta. The timeless black color and straight silhouette create a classic and elegant kurta that can be dressed up or down for various occasions.,in stock,new,12 USD,https://netcoredemo.myshopify.com/collections/tops/products/1108,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/15daf217-9675-44eb-9a72-a1fa5c0e59ac1580992868021-IMARA-Women-Black-Solid-Straight-Kurta-6641580992866573-1.jpg?v=1586241135,Netcore,Shirts,Tops,,black,solid,
109,Women Navy Blue Solid Straight Kurta,Add a staple piece to your wardrobe with the Women Navy Blue Solid Straight Kurta. The deep navy blue color and clean-cut silhouette create a versatile and timeless kurta that can be styled for both casual and formal looks.,in stock,new,89 USD,https://netcoredemo.myshopify.com/collections/tops/products/1109,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/4cb2e018-0cf5-499c-aeb2-2537073ad1b71581332992348-AURELIA-Women-Navy-Blue-Solid-Straight-Kurta-598158133299082-1.jpg?v=1586241136,Netcore,Shirts,Tops,,blue,solid,
110,Women Red Solid Straight Kurta,"Make a bold statement with the Women Red Solid Straight Kurta. The vibrant red color and clean design create a confident and stylish kurta that's perfect for festive occasions, parties, or a touch of glamour in your daily wear.",in stock,new,12 USD,https://netcoredemo.myshopify.com/collections/tops/products/1110,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/0e1eb1b6-6e1d-4652-bf16-04ae41aaca8c1580991972019-IMARA-Women-Red-Solid-Straight-Kurta-6381580991970076-1.jpg?v=1586241138,Netcore,Shirts,Tops,,red,solid,
111,Women Olive Green Solid Pathani Kurta,Embrace a traditional and versatile style with the Women Olive Green Solid Pathani Kurta. The rich olive green color and Pathani-inspired design create a classic and ethnic kurta that's perfect for cultural events or festive celebrations.,in stock,new,51 USD,https://netcoredemo.myshopify.com/collections/tops/products/1111,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11504603353413-Libas-Women-Kurtas-1081504603353246-1.jpg?v=1586241139,Netcore,Shirts,Tops,,green,solid,
112,Women Yellow Solid Straight Kurta,Add a pop of color to your wardrobe with the Women Yellow Solid Straight Kurta. The vibrant yellow hue and clean-cut silhouette create a fresh and stylish kurta that's perfect for both casual and semi-formal occasions.,in stock,new,12 USD,https://netcoredemo.myshopify.com/collections/tops/products/1112,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/d1f50810-2dc0-4573-8498-2be2ef72bf8e1581029192537-1.jpg?v=1586241140,Netcore,Shirts,Tops,,yellow,solid,
113,Women White Solid Straight Kurta,Embrace elegance with the Women White Solid Straight Kurta. The crisp white color and clean design create a sophisticated and versatile kurta that's perfect for both formal events and everyday wear.,in stock,new,51 USD,https://netcoredemo.myshopify.com/collections/tops/products/1113,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/906e1263-6f5d-417e-89c1-48efadf56adb1554100726968-SASSAFRAS-Women-White-Solid-Straight-Kurta-5101554100725907-1.jpg?v=1586241142,Netcore,Shirts,Tops,,white,solid,
114,Women White Solid A-Line Kurta,Step into timeless style with the Women White Solid A-Line Kurta. The pristine white color and flattering A-line silhouette create a chic and versatile kurta that can be dressed up or down for various occasions.,in stock,new,24 USD,https://netcoredemo.myshopify.com/collections/tops/products/1114,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/35515912-1a21-4cc8-8f78-7c58340cbab71581471500707-1.jpg?v=1586241144,Netcore,Shirts,Tops,,white,solid,
115,Women Blue Solid A-Line Kurta,Elevate your ethnic wardrobe with the Women Blue Solid A-Line Kurta. The rich blue color and flattering A-line silhouette create a stylish and versatile kurta that's perfect for both casual and festive occasions.,in stock,new,14 USD,https://netcoredemo.myshopify.com/collections/tops/products/1115,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/430b3360-84a3-4771-b326-3554ad4fda511581924904985-Embroidered-Straight-Kurta-3131581924903475-1.jpg?v=1586241145,Netcore,Shirts,Tops,,blue,solid,
116,Women Maroon Solid Straight Kurta,Embrace a rich and elegant look with the Women Maroon Solid Straight Kurta. The deep maroon color and clean-cut silhouette create a sophisticated and versatile kurta that's perfect for both formal and festive events.,in stock,new,15 USD,https://netcoredemo.myshopify.com/collections/tops/products/1116,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/72077f26-9654-415c-875b-4322b0e28e701580451419626-W-Women-Maroon-Solid-Straight-Kurta-3921580451418709-1.jpg?v=1586241147,Netcore,Shirts,Tops,,red,solid,
117,Women Black & White Polka Dot Print Anarkali Kurta,"Embrace a playful and retro-inspired style with the Women Black & White Polka Dot Print Anarkali Kurta. The classic black and white polka dot print, along with the flared silhouette, create a charming and feminine kurta for special occasions.",in stock,new,94 USD,https://netcoredemo.myshopify.com/collections/tops/products/1117,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/6b3e107d-fa61-4d59-8c86-9b4aa9dd67741568379867502-MBE-Women-Black--White-Printed-Anarkali-Kurta-61515683798657-1.jpg?v=1586241149,Netcore,Shirts,Tops,,black,polka,
118,Women Polka Print Polyester Ethnic Dress (Green),Add a touch of retro charm with the Women Polka Print Polyester Ethnic Dress in Green. The vibrant green color and timeless polka dot print create a playful and stylish dress that's perfect for festive celebrations or casual outings.,in stock,new,71 USD,https://netcoredemo.myshopify.com/collections/tops/products/1118,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/l-8497mj-green-libas-original-imafjgvsfw2mskyw.jpg?v=1586241151,Netcore,Shirts,Tops,,green,polka,
119,Women Polka Print Cotton Rayon Blend Flared Kurta (Blue),"Embrace a blend of comfort and style with the Women Polka Print Cotton Rayon Blend Flared Kurta in Blue. The blue color and flared silhouette, along with the polka dot print, create a chic and versatile kurta for a trendy ethnic look.",in stock,new,71 USD,https://netcoredemo.myshopify.com/collections/tops/products/1119,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/l-dv103blu-divastri-original-imaf96zapzzpkcap.jpg?v=1586241152,Netcore,Shirts,Tops,,blue,polka,
120,Women Polka Print Pure Cotton A-line Kurti (Red),"Step into timeless elegance with the Women Polka Print Pure Cotton A-line Kurti in Red. The classic red color and A-line silhouette, along with the polka dot print, create a versatile and feminine kurta that's perfect for various occasions.",in stock,new,69 USD,https://netcoredemo.myshopify.com/collections/tops/products/1120,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/s-nck440-s-sanu-fashion-original-imafgwhfwezvsbhu.jpg?v=1586241154,Netcore,Shirts,Tops,,red,polka,
121,Women Polka Print Cambric Flared Kurta (Yellow),"Embrace a cheerful and fashionable look with the Women Polka Print Cambric Flared Kurta in Yellow. The vibrant yellow color and flared silhouette, along with the polka dot print, create a playful and trendy kurta for casual outings or festive events.",in stock,new,67 USD,https://netcoredemo.myshopify.com/collections/tops/products/1121,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/s-ss10-rustorange-original-imafjaxfctvhssqd.jpg?v=1586241156,Netcore,Shirts,Tops,,yellow,polka,
122,"Women's Polka Print Rayon Anarkali Kurta (White, Brown)","Add a touch of elegance with the Women's Polka Print Rayon Anarkali Kurta in White and Brown. The classic combination of white and brown, along with the polka dot print and Anarkali silhouette, create a graceful and stylish kurta for special occasions.",in stock,new,10 USD,https://netcoredemo.myshopify.com/collections/tops/products/1122,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/3xl-126browna3xl-lee-moda-original-imafnhgwt8hgchrs.jpg?v=1586241158,Netcore,Shirts,Tops,,white,polka,
123,Women Polka Print Pure Cotton A-line Kurti (Black),"Embrace a classic and versatile look with the Women Polka Print Pure Cotton A-line Kurti in Black. The timeless black color and A-line silhouette, along with the polka dot print, create a chic and stylish kurta that can be dressed up or down.",in stock,new,59 USD,https://netcoredemo.myshopify.com/collections/tops/products/1123,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/l-nck438-l-sanu-fashion-original-imafjf9yytnhh8sa.jpg?v=1586241160,Netcore,Shirts,Tops,,black,polka,
